period_s,yr50,yr100,yr250,yr475,yr975,yr2475,yr5000,yr10000
1.000000000000000021e-02,8.688362479485473716e-03,1.763585373284674157e-02,3.586574007631604388e-02,5.335226230700941541e-02,8.439593492176038214e-02,1.421512539880152581e-01,1.956434184492708561e-01,2.465736153449731294e-01
1.079775162327709613e-02,8.715016654729484946e-03,1.770390169334034106e-02,3.600008220838465944e-02,5.355308546879210263e-02,8.471233071670125625e-02,1.424814748606290093e-01,1.961851612983257775e-01,2.468224417996418563e-01
1.165914401179831729e-02,8.748881410765661087e-03,1.779058463289545644e-02,3.617804712765730624e-02,5.380405442583695297e-02,8.511031312552939931e-02,1.428948186757137417e-01,1.967383589421305423e-01,2.471626801073462387e-01
1.258925411794167143e-02,8.794052722260647242e-03,1.790325748953473795e-02,3.640362184812293012e-02,5.419241455660656070e-02,8.561928105595484340e-02,1.434181741979027036e-01,1.974811642584905491e-01,2.475818034379267396e-01
1.359356390878525486e-02,8.856430823351649217e-03,1.805145383406758092e-02,3.669227566430458692e-02,5.463565733048539319e-02,8.628603102950371806e-02,1.442844716965860641e-01,1.984697579751301122e-01,2.481273244852797433e-01
1.467799267622069311e-02,8.942430148856938404e-03,1.825079560742974560e-02,3.708063165009742312e-02,5.522723576685047153e-02,8.719193971494693107e-02,1.456202330119820976e-01,1.994187157946162303e-01,2.487214895098747713e-01
1.584893192461113084e-02,9.068208734216764988e-03,1.856322927263465497e-02,3.771366093504158884e-02,5.607220928728675474e-02,8.849773869495816681e-02,1.472316490872647710e-01,2.006532641956293439e-01,2.493866028229849707e-01
1.711328304161780292e-02,9.267997694813435994e-03,1.907426002223899103e-02,3.869861090924207880e-02,5.753913351824207351e-02,9.089061132302021784e-02,1.497948204318401699e-01,2.023894608136413420e-01,2.505035320029259660e-01
1.847849797422290372e-02,9.667135309378394742e-03,1.997740184400838281e-02,4.067789690034631644e-02,5.996890364706002063e-02,9.519331445900576505e-02,1.544361243065690559e-01,2.061236484467572905e-01,2.523477793614788967e-01
1.995262314968878833e-02,1.064807653357252581e-02,2.243611146679936816e-02,4.555619304755325477e-02,6.752547197596625583e-02,1.065652157770749509e-01,1.653948765261986087e-01,2.133869428106809352e-01,2.559067212044691120e-01
2.154434690031882885e-02,1.138537756871989097e-02,2.445026078530341054e-02,5.019195084615597768e-02,7.282901022685409065e-02,1.141200219795244775e-01,1.738365764479658515e-01,2.205404809745781791e-01,2.592703111385739057e-01
2.326305067153625061e-02,1.175486390649118154e-02,2.529248605256503510e-02,5.145632344476881725e-02,7.515434058978112675e-02,1.163036757208139871e-01,1.785281309071459210e-01,2.222508211714728787e-01,2.626994294703398625e-01
2.511886431509579090e-02,1.189301293756681727e-02,2.593824943874575850e-02,5.352517541137000179e-02,7.702201906555286581e-02,1.198850027265278423e-01,1.812597075444248862e-01,2.279786758426144977e-01,2.660809736652327562e-01
2.712272579332027089e-02,1.185214102877449674e-02,2.569239750293760699e-02,5.422007216070361818e-02,7.986787383865311118e-02,1.212124668444650721e-01,1.889539501932926413e-01,2.347818383009934728e-01,2.731518362429408708e-01
2.928644564625235147e-02,1.191144398064642937e-02,2.568578350817321554e-02,5.480699881297232401e-02,8.132061116877220552e-02,1.259412250856737914e-01,1.954884298964651990e-01,2.444835141211023632e-01,2.802012564376731851e-01
3.162277660168377746e-02,1.207508091276046289e-02,2.643791959965403893e-02,5.792802748765833731e-02,8.518343482678626677e-02,1.312884911233634100e-01,2.052234702952384637e-01,2.559818863047131354e-01,2.911087242308145751e-01
3.414548873833599812e-02,1.243842016012271234e-02,2.744966432468043394e-02,6.004826065193831497e-02,8.865426210779933647e-02,1.411010207992751675e-01,2.198377934667585243e-01,2.700118275854176964e-01,3.003214828330724728e-01
3.686945064519573517e-02,1.250214618888932649e-02,2.754490848339816514e-02,6.114479470678659684e-02,9.014126409817339869e-02,1.466478119427734317e-01,2.302071564852732344e-01,2.842037524981320118e-01,3.114668683439903996e-01
3.981071705534970639e-02,1.293824776197431692e-02,2.828869097464002669e-02,6.340732339280311103e-02,9.248071573126670497e-02,1.504126755005237848e-01,2.371489010915800999e-01,2.939276860443037487e-01,3.239910748469917445e-01
4.298662347082275043e-02,1.336873488109708435e-02,2.956021488229025260e-02,6.405631848201243095e-02,9.495051680034069519e-02,1.537342219209987537e-01,2.479181727455999074e-01,3.023981382726962375e-01,3.340010417545472565e-01
4.641588833612776688e-02,1.363784693949561880e-02,3.034704487185133776e-02,6.659312207933065775e-02,9.790626790714074268e-02,1.575796571653574341e-01,2.544746582262755741e-01,3.128234445334293623e-01,3.475304442921141601e-01
5.011872336272720635e-02,1.398012808895908107e-02,3.080818869184349246e-02,6.735388767903324747e-02,9.953564590056560024e-02,1.618077485675951666e-01,2.602559599662254142e-01,3.203721583455608757e-01,3.599567999870771917e-01
5.411695265464634003e-02,1.465891404524549517e-02,3.197237879112403702e-02,6.933481730470368587e-02,1.026621844931184385e-01,1.647530224374250118e-01,2.630133997392901657e-01,3.306820016453950739e-01,3.653045143564803143e-01
5.843414133735173183e-02,1.481642285138451420e-02,3.281555049986291384e-02,6.996037254247197690e-02,1.036804238982020204e-01,1.655416041252082970e-01,2.659271041865439722e-01,3.390050784662773653e-01,3.757275707462784942e-01
6.309573444801928888e-02,1.481120744187220013e-02,3.250577360852073550e-02,6.901696702280236961e-02,1.034212099420485642e-01,1.641083007109883085e-01,2.652895723235957903e-01,3.420223611085741466e-01,3.808790796888071872e-01
6.812920690579608862e-02,1.516993734310772245e-02,3.248137480335158006e-02,6.847057899362528344e-02,1.010777923221278518e-01,1.595911326761009219e-01,2.581149792748098082e-01,3.338707443147671539e-01,3.903727566735950560e-01
7.356422544596408208e-02,1.594582506638645564e-02,3.363117750321777122e-02,7.097158036536638237e-02,1.023178611049396503e-01,1.570296893374627523e-01,2.542083555887076907e-01,3.278295254237972856e-01,3.892490059646513956e-01
7.943282347242809627e-02,1.690947766185035839e-02,3.554489451994077842e-02,7.528858748816635860e-02,1.078213477048763358e-01,1.619357103088257255e-01,2.527678970851910956e-01,3.266358701048376334e-01,3.952022592080890462e-01
8.576958985908934852e-02,1.680989559368126912e-02,3.600662642145981834e-02,8.030591077923271426e-02,1.164986047332328273e-01,1.726969224649535783e-01,2.604385145078376151e-01,3.349831597753726298e-01,3.959309323584927487e-01
9.261187281287927564e-02,1.640647338831367763e-02,3.501650741261913558e-02,7.989863756907103487e-02,1.178619136389634087e-01,1.851739961108140320e-01,2.783996803771721651e-01,3.497718879925211799e-01,4.031117365114019746e-01
9.999999999999992228e-02,1.621841202967392453e-02,3.418517748629797126e-02,7.939085272289364559e-02,1.182200255847982440e-01,1.852686702578654199e-01,3.010558521261946230e-01,3.761009840571226670e-01,4.334529563153847187e-01
1.079775162327708815e-01,1.668989186178828146e-02,3.494335975242442160e-02,8.116228306924500036e-02,1.215419670268702013e-01,1.885274370470537697e-01,3.079244484714103169e-01,3.951056161800867161e-01,4.630504108694400989e-01
1.165914401179830862e-01,1.774718848174434982e-02,3.667494906764576235e-02,8.219384812288171860e-02,1.245321259984777107e-01,1.924829107441887732e-01,3.125849643317474280e-01,4.190243940745915219e-01,4.849189820186383670e-01
1.258925411794166171e-01,1.850305733642504044e-02,3.806308154987031456e-02,8.415206996966886899e-02,1.262117548928305133e-01,1.954230413038252345e-01,3.243294695767852120e-01,4.299289995740649406e-01,5.198750507099125784e-01
1.359356390878524445e-01,1.916915731117121297e-02,3.924282036711217170e-02,8.428681273940549779e-02,1.291996650224374044e-01,2.001653432751969719e-01,3.312582266909459561e-01,4.440537472701577837e-01,5.510993191676698544e-01
1.467799267622068304e-01,1.884901331744974484e-02,3.747411845471951969e-02,8.078420339826061780e-02,1.271698704249483447e-01,2.013764866398019548e-01,3.362072711016681481e-01,4.558707913570541059e-01,5.737699775022664372e-01
1.584893192461112044e-01,1.777078567890652550e-02,3.550818575099809471e-02,7.417480933982292801e-02,1.181134349102795356e-01,1.927676230524922873e-01,3.325755247852707486e-01,4.771018671098291031e-01,5.799194435432912798e-01
1.711328304161779112e-01,1.655977587113238725e-02,3.274465756287385509e-02,6.895026126674475009e-02,1.101784041147321480e-01,1.816102810434112036e-01,3.282491696543662907e-01,4.640552402759005601e-01,5.705415554271614509e-01
1.847849797422289053e-01,1.577502228078569990e-02,3.088184660520510924e-02,6.428029340046215179e-02,1.019750857087913798e-01,1.679429470544194225e-01,3.124285488016507184e-01,4.516108125038300614e-01,5.945902057929230988e-01
1.995262314968877515e-01,1.563459356113100496e-02,2.989471671266174385e-02,6.179825319592013172e-02,9.834094820437594420e-02,1.586181192765742654e-01,2.843054955510504467e-01,4.321357674510167834e-01,5.677037724427260734e-01
2.154434690031881428e-01,1.561885496884903718e-02,2.970459421940910283e-02,6.066295523830950165e-02,9.601999788885406950e-02,1.524939609653810924e-01,2.660880833736387618e-01,3.925120885447056507e-01,5.340548340973316765e-01
2.326305067153623674e-01,1.619054745899409231e-02,3.054701961961336920e-02,6.002048330487408379e-02,9.365116935517055208e-02,1.450378136945803531e-01,2.507593106798622351e-01,3.690302148081615052e-01,5.133834045865386386e-01
2.511886431509577355e-01,1.715350187108846680e-02,3.218055159115325303e-02,6.208278169769497479e-02,9.273360936015509481e-02,1.427963433473066202e-01,2.389923886555136434e-01,3.450796396638171615e-01,4.763779819502398927e-01
2.712272579332025146e-01,1.852570486475985795e-02,3.439487874243164767e-02,6.602351369333198106e-02,9.550659300286504227e-02,1.413369096658370072e-01,2.353839130044902417e-01,3.344213344526325016e-01,4.514155494405954760e-01
2.928644564625232927e-01,1.996997131826197883e-02,3.693599755735019891e-02,7.078893126407699576e-02,1.004567168565758395e-01,1.481858861683373885e-01,2.340595399579788460e-01,3.252157242997490982e-01,4.392450359907573154e-01
3.162277660168375526e-01,2.068931299834954676e-02,3.819344875480255863e-02,7.440234407413789941e-02,1.070134330676081325e-01,1.524558298989125982e-01,2.399161718428110546e-01,3.246286243620636336e-01,4.280720231447429081e-01
3.414548873833597731e-01,2.139142519723091426e-02,3.906300926787333039e-02,7.569597414262868584e-02,1.093460343277350144e-01,1.514293236842577661e-01,2.431819921237005355e-01,3.245862001613336600e-01,4.270884442316257301e-01
3.686945064519571158e-01,2.109236757122446085e-02,3.869825364205016494e-02,7.594116166655986988e-02,1.103000246465409007e-01,1.546353106138036448e-01,2.360925024193863964e-01,3.290538127377790056e-01,4.219628985871066718e-01
3.981071705534968141e-01,2.014586608775455895e-02,3.730779907733119960e-02,7.338439329454635174e-02,1.081409733718045052e-01,1.533957308952426102e-01,2.290059549325443311e-01,3.175432889581432661e-01,4.197354581524013195e-01
4.298662347082272128e-01,1.808930768751178947e-02,3.363987646093130612e-02,6.775853965320592642e-02,1.018468409388527951e-01,1.459884324732263761e-01,2.236472109030415156e-01,3.086490971382183091e-01,4.131501677473295442e-01
4.641588833612773635e-01,1.547866810221158566e-02,2.889404345415466299e-02,5.881785166468371517e-02,8.950831424663027724e-02,1.335777157865586928e-01,2.133640402256845037e-01,2.895010512231616095e-01,3.996985687263146514e-01
5.011872336272716888e-01,1.312173609238628802e-02,2.458033960633106141e-02,5.045755736888342391e-02,7.690182509382192944e-02,1.162012855142364742e-01,1.918373068798925885e-01,2.731666592320765030e-01,3.729777784583068745e-01
5.411695265464629978e-01,1.113977859757288476e-02,2.093502958249114643e-02,4.315978143598010047e-02,6.589234368403291964e-02,1.008115114422770686e-01,1.668737440283813989e-01,2.422430874498119335e-01,3.463716203632891122e-01
5.843414133735168603e-01,9.483039970542141844e-03,1.787495337232436476e-02,3.705596654536023882e-02,5.680284690032422201e-02,8.739881717611749923e-02,1.468485908444731314e-01,2.117576571962294651e-01,3.139040403179418348e-01
6.309573444801924724e-01,8.094373153901527132e-03,1.530226072730705641e-02,3.195128142761688439e-02,4.934145064823801385e-02,7.625638635838619117e-02,1.286303729112727723e-01,1.879146725465158096e-01,2.750712350886880264e-01
6.812920690579604699e-01,6.927264690119386802e-03,1.313913021341122332e-02,2.768168357294881199e-02,4.314827989394326435e-02,6.697667400498530377e-02,1.135742865006713620e-01,1.664143360342738021e-01,2.446435616115964495e-01
7.356422544596404878e-01,5.948960362276632836e-03,1.132927356654556128e-02,2.408698078877192367e-02,3.794736150970548505e-02,5.921691742121303753e-02,1.010158833224605035e-01,1.484136048345058301e-01,2.181719729155389420e-01
7.943282347242806019e-01,5.137008196701411435e-03,9.824061463785314224e-03,2.106548591678064630e-02,3.353753961129209149e-02,5.269488472422362291e-02,9.051486049216067586e-02,1.334935940239138086e-01,1.962996142900923502e-01
8.576958985908931243e-01,4.459522242113331605e-03,8.572640847103834422e-03,1.851010962954770939e-02,2.976033383742907393e-02,4.712996351148056318e-02,8.153968349520256120e-02,1.207999430641798488e-01,1.784184394866238921e-01
9.261187281287923678e-01,3.886153638551528757e-03,7.517739281780398339e-03,1.631106739366181002e-02,2.649037018868095894e-02,4.221740544596390421e-02,7.352747002194549852e-02,1.094048173640013444e-01,1.615758595117835761e-01
9.999999999999987788e-01,3.389879698259011531e-03,6.607801370807828839e-03,1.437375196231108730e-02,2.363338376195629753e-02,3.769769843291824463e-02,6.599546209439907662e-02,9.849681377835312057e-02,1.453612781364410911e-01
1.079775162327708316e+00,2.950697495255345804e-03,5.803920443101183088e-03,1.263047204538724627e-02,2.112444525288734165e-02,3.338611932369896229e-02,5.864538519770168268e-02,8.759107562493734234e-02,1.290210597604734000e-01
1.165914401179830362e+00,2.559089130666077419e-03,5.086135993707410069e-03,1.105215680314179660e-02,1.890627742000154654e-02,2.927916365148730202e-02,5.143209015603826539e-02,7.669690650551712341e-02,1.125938773999252129e-01
1.258925411794165727e+00,2.211900787112644311e-03,4.446774836620820057e-03,9.627493273996135664e-03,1.693648714634971714e-02,2.543255703116539118e-02,4.451680026188689632e-02,6.612459397409128914e-02,9.659546460721704642e-02
1.359356390878524001e+00,1.908534781709089962e-03,3.880332228287039671e-03,8.359064952029579554e-03,1.519776854046139478e-02,2.275837058400424773e-02,3.813227650723927109e-02,5.630048638434842490e-02,8.171926969002971108e-02
1.467799267622067694e+00,1.649387690330317204e-03,3.386670921265647581e-03,7.259332990898682836e-03,1.367243057820954205e-02,2.070369227499472414e-02,3.279389534863189071e-02,4.768066104447873238e-02,6.867973363572482670e-02
1.584893192461111378e+00,1.433532709326460364e-03,2.963786716202840461e-03,6.326618239697150148e-03,1.233034270091652729e-02,1.887804916551583806e-02,3.021644837551711732e-02,4.141206668423584591e-02,5.804622609707379977e-02
1.711328304161778613e+00,1.255873256797543532e-03,2.605299698613948532e-03,5.545839690040537187e-03,1.114480096086635855e-02,1.724340894692854773e-02,2.788334716562142906e-02,3.844051543131310478e-02,5.112903929982647727e-02
1.847849797422288498e+00,1.106943737775779261e-03,2.296932867042357843e-03,4.876204748345831785e-03,1.006473826564245264e-02,1.572992427149705677e-02,2.568660261684962975e-02,3.561209795378078580e-02,4.760162606001837327e-02
1.995262314968876849e+00,9.762666521345891076e-04,2.025190724000446897e-03,4.279662937371284809e-03,9.049538374267064589e-03,1.428471115713952216e-02,2.355647797963140999e-02,3.284784779550388445e-02,4.413395890916335662e-02
2.154434690031880706e+00,8.558292646347214795e-04,1.778733937093273862e-03,3.724384976355788173e-03,8.067161303461956728e-03,1.286572281082992882e-02,2.143440352349983841e-02,3.007616663353836553e-02,4.064020704041283738e-02
2.326305067153622730e+00,7.432216977015818028e-04,1.553576662655785368e-03,3.202939038631309656e-03,7.115105362805421163e-03,1.147306991189599515e-02,1.932486266682978751e-02,2.730201367481195629e-02,3.712540194213781453e-02
2.511886431509576578e+00,6.396377669649966954e-04,1.350211354094560130e-03,2.723319033980992586e-03,6.212768220860467525e-03,1.013508220719995870e-02,1.727251375238379738e-02,2.458097372849383025e-02,3.365524058137479846e-02
2.712272579332024591e+00,5.472666980574339337e-04,1.170643098022495793e-03,2.297279528934923799e-03,5.386576909803923729e-03,8.892298303914681484e-03,1.533668085087524537e-02,2.199301185044551243e-02,3.032317111145825181e-02
2.928644564625232594e+00,4.685179768132818998e-04,1.016057983244595233e-03,1.936462837455788866e-03,4.664821219575821486e-03,7.788733398075921993e-03,1.358836562515240709e-02,1.962521723587010852e-02,2.723750425730069036e-02
3.162277660168375082e+00,4.045841605227227600e-04,8.870361177782865904e-04,1.647477329972362424e-03,4.065031219790734424e-03,6.854583737463978803e-03,1.207637706531173617e-02,1.754835175171983244e-02,2.449115070632909563e-02
3.414548873833596954e+00,3.539035858184336148e-04,7.803057973223196222e-04,1.422772754489744652e-03,3.579940662236637261e-03,6.083731189755770333e-03,1.080052240822900605e-02,1.576708677600874298e-02,2.210362178426590954e-02
3.686945064519570270e+00,3.124961629389179981e-04,6.900090154542762051e-04,1.244418233379154717e-03,3.179330728996027783e-03,5.437321753295655188e-03,9.713647062116317898e-03,1.423244379217113338e-02,2.002648663079980781e-02
3.981071705534966920e+00,2.757921695584188105e-04,6.090367352236381298e-04,1.091074187977113513e-03,2.827167135294371414e-03,4.866340127514764621e-03,8.752862151177561931e-03,1.287669975686865642e-02,1.819400141331865839e-02
4.298662347082270685e+00,2.402790074742302542e-04,5.320559619645358340e-04,9.465251313072826824e-04,2.495606504442492591e-03,4.333104535996673209e-03,7.864403414025503830e-03,1.163686961949895148e-02,1.653571275456731937e-02
4.641588833612772191e+00,2.057552339525197218e-04,4.588568371193208558e-04,8.085591373068277271e-04,2.181082495784893160e-03,3.829393512512456032e-03,7.029890872138915350e-03,1.047623652329251857e-02,1.498968936967900144e-02
5.011872336272715778e+00,1.740231143101343670e-04,3.922376376583976880e-04,6.832247859228493319e-04,1.894443498677219955e-03,3.365250674580055196e-03,6.249488675468886645e-03,9.377111645084125480e-03,1.350328294353237389e-02
5.411695265464628868e+00,1.467101894224849773e-04,3.346837616906252937e-04,5.760605592687270161e-04,1.645135343775446304e-03,2.950354141887420300e-03,5.526888639577449795e-03,8.331996606070563027e-03,1.204243154875847023e-02
5.843414133735167049e+00,1.241786921824916245e-04,2.866620901133369592e-04,4.879431865503909256e-04,1.433502176891687189e-03,2.585335665428337669e-03,4.863561657276065792e-03,7.343158452180628681e-03,1.061278930065581022e-02
6.309573444801922726e+00,1.060573235014974588e-04,2.474200409056651799e-04,4.170887066518651448e-04,1.254861737329162046e-03,2.265706968747548469e-03,4.259756443427567194e-03,6.420018702826563867e-03,9.243439427545574461e-03
6.812920690579602478e+00,9.172266101811462138e-05,2.157763074739514533e-04,3.608273937462686963e-04,1.102930434719484598e-03,1.985473086949868498e-03,3.715140209526798278e-03,5.574235783836316467e-03,7.969933259856310306e-03
7.356422544596401991e+00,8.035293003005332846e-05,1.901527198610585305e-04,3.157958933483897375e-04,9.708080246759047448e-04,1.737931747137948582e-03,3.229237177846410595e-03,4.817546838249973581e-03,6.828856762057961341e-03
7.943282347242802466e+00,7.090435456191555093e-05,1.684975787741835643e-04,2.779049980816609804e-04,8.520249909161110467e-04,1.516758104851278696e-03,2.800178806136332556e-03,4.157017522239936022e-03,5.845971886905873549e-03
8.576958985908927247e+00,6.223215589254657587e-05,1.485402744995196426e-04,2.429121278417033366e-04,7.428555775693618593e-04,1.317678356474949464e-03,2.422749905536862591e-03,3.586692515080787749e-03,5.015796279140663158e-03
9.261187281287920570e+00,5.331353348584870055e-05,1.282377314236820773e-04,2.072580323200076593e-04,6.419017573734355116e-04,1.137986960689544962e-03,2.089189146115698510e-03,3.090958001168983733e-03,4.309674559455115364e-03
9.999999999999984013e+00,4.374089792522416973e-05,1.067680086763173872e-04,1.697366736071565744e-04,5.491062283188904297e-04,9.760323232758025529e-04,1.792418245746614947e-03,2.654127595236002897e-03,3.696686692497599437e-03
